full_index;Starting age;intervention;LY disc;LY;QALY disc;QALY;cost disc;costs;kf_incidence;ace costs;dapa costs;screening costs;discounted screening costs;diagnosis costs;PSA screening + office;avg on dapa;dis_LY_detected;dis_QALY_detected;dis_cost_detected;detected_total;original treated
848500;35;Placebo;23.80980335;43.75002335;19.56404212;34.74084075;221842.2207;498070.7055;1.543144056;155.9127217;0;0;0;0;52.5466044;0;0.518240458;0.349982103;12765.59284;0.181323245;0.001399901
848500;35;[0, 10, 20, 30, 40];23.82720704;43.82476096;19.58246364;34.80780614;224389.0792;504264.4122;1.328356879;2221.997116;0;174.7491886;120.0450336;154.3262755;52.5466044;0;7.608517702;6.030690251;90707.10182;0.589455814;0.001399901
998642;35;Placebo;23.77086779;43.64541153;19.13103304;33.75943783;253668.8489;568929.6465;2.867343713;132.371564;0;0;0;0;63.14095729;0;0.453979968;0.282131088;13791.04976;0.148673929;0.001137232
998642;35;[0, 10, 20, 30, 40];23.79173356;43.73408168;19.15418087;33.84042813;256723.5116;576627.9511;2.47274443;2399.598137;0;197.2871532;138.1625986;223.1804538;63.14095729;0;8.895508731;6.888165541;119389.7193;0.648802714;0.001137232
4918;35;Placebo;23.77341181;43.68464154;17.47018064;30.01587996;225323.0567;508444.3983;3.816572705;122.6681167;0;0;0;0;55.95775175;0;0.446067285;0.24149965;16153.49539;0.142028914;0.000928777
4918;35;[0, 10, 20, 30, 40];23.80162979;43.80183972;17.50260535;30.11164871;226710.0096;511541.0643;3.14734558;2102.384341;0;192.540642;130.866803;145.7630853;55.95775175;0;6.812262924;4.663693817;85782.72583;0.535363182;0.000928777
638664;35;Placebo;23.85162308;44.01422534;19.15023223;33.96904473;285585.079;642440.8206;1.653202668;149.244546;0;0;0;0;44.44273883;0;0.465072194;0.307830427;13410.75181;0.134260614;0.001755494
638664;35;[0, 10, 20, 30, 40];23.8643635;44.06873026;19.16569214;34.02093963;287796.4947;647699.3004;1.469641868;2059.344837;0;153.3074653;103.9950325;146.8414773;44.44273883;0;6.795227918;5.237734717;103197.5428;0.523401132;0.001755494
332172;35;Placebo;23.83009118;43.89256539;19.15341192;33.96495513;264579.9219;593571.1896;2.662395213;129.3469056;0;0;0;0;51.63899049;0;0.495119416;0.327412421;16785.39566;0.145045343;0.002104687
332172;35;[0, 10, 20, 30, 40];23.83175671;43.89964894;19.15523133;33.97127169;267606.5836;600613.7748;2.628409464;2538.17317;0;162.2034541;113.3378291;170.6039636;51.63899049;0;8.79861112;6.816036803;124017.8997;0.638499648;0.002104687
544949;35;Placebo;23.83269207;43.90320231;18.71673781;32.92849332;267855.4564;599612.8792;1.556069576;109.8464082;0;0;0;0;50.09778379;0;0.461165026;0.278305187;12455.56357;0.128495277;0.001256869
544949;35;[0, 10, 20, 30, 40];23.84217578;43.94279118;18.72863604;32.96672194;270899.3047;607183.483;1.416316884;2255.409307;0;160.9587835;111.778616;191.9042412;50.09778379;0;8.333684396;6.24826751;117408.6589;0.610733776;0.001256869
706037;35;Placebo;23.73660775;43.52674744;19.22870209;33.87759352;240399.6391;542277.6604;5.080587031;161.284708;0;0;0;0;47.55076867;0;0.593203621;0.361912301;23091.70571;0.203913657;0.001197442
706037;35;[0, 10, 20, 30, 40];23.73734172;43.52976488;19.22949756;33.88033873;243706.0209;550567.3211;5.061074941;2129.873875;0;154.8488319;107.2544137;173.3884193;47.55076867;0;7.921249733;6.130305162;108392.9701;0.620660423;0.001197442
731196;35;Placebo;23.83318591;43.84862127;18.88769036;33.43335902;237528.3428;533492.1135;2.61284252;76.42769273;0;0;0;0;63.63763783;0;0.340315957;0.221220384;9832.938032;0.114087671;0.000937898
731196;35;[0, 10, 20, 30, 40];23.85575873;43.94588344;18.91426726;33.52230196;239515.1509;538827.4229;2.201847743;1425.26433;0;215.2165013;146.9482205;181.1595481;63.63763783;0;7.292454394;5.558409608;91796.36061;0.549396299;0.000937898
78431;35;Placebo;23.88997109;44.11871671;19.48248015;34.67239467;200263.9254;452493.4704;0.7534823;121.6087549;0;0;0;0;59.23414379;0;0.455749809;0.299071469;8802.755749;0.143407005;0.00156752
78431;35;[0, 10, 20, 30, 40];23.9056976;44.18954539;19.50154326;34.7414695;202890.9518;459104.0898;0.612111289;2135.040673;0;195.7521572;134.714201;179.6958336;59.23414379;0;7.814533912;6.139785246;83057.43512;0.588665851;0.00156752
773769;35;Placebo;23.91736818;44.23380932;18.57706307;32.75254737;238618.8139;537540.2292;1.351069142;137.499164;0;0;0;0;45.59902867;0;0.446173731;0.273472591;10692.02982;0.122993318;0.002142041
773769;35;[0, 10, 20, 30, 40];23.92779488;44.27918792;18.59007739;32.79491065;242189.5331;546145.1219;1.20907592;3002.96258;0;143.9440231;100.492688;170.5506278;45.59902867;0;8.79099859;6.516002019;110461.8709;0.634651678;0.002142041
350112;35;Placebo;23.72753211;43.45479286;19.6771138;34.9433091;294920.4155;658719.7657;3.15757196;122.1185178;0;0;0;0;47.55918445;0;0.505374344;0.358344885;15334.00258;0.161677668;0.002362038
350112;35;[0, 10, 20, 30, 40];23.74102623;43.51193064;19.69020203;34.9927544;298267.9443;667366.2427;2.888844034;2375.239282;0;147.4935141;103.5468521;239.9582949;47.55918445;0;8.989846674;7.240054394;139251.8331;0.657882381;0.002362038
612945;35;Placebo;23.95080207;44.38449818;19.92517792;35.88798541;265440.0238;598994.1226;0.971580013;175.7031922;0;0;0;0;47.06434958;0;0.453672262;0.332389062;11121.179;0.124013816;0.001146321
612945;35;[0, 10, 20, 30, 40];23.95080207;44.38449818;19.92517773;35.88798512;269032.9943;607466.1137;0.971580013;3111.838197;0;147.0992624;103.0436776;155.0995001;47.06434958;0;9.016256156;7.299858476;124594.1747;0.645315486;0.001146321
993913;35;Placebo;23.84193449;43.89437994;18.60567421;32.79406541;281698.8161;632823.5922;2.050146961;169.7922783;0;0;0;0;53.28985972;0;0.499579369;0.316107897;15046.08597;0.174382031;0.001394611
993913;35;[0, 10, 20, 30, 40];23.89831375;44.14207293;18.67335936;33.02036985;284686.9799;641086.8765;1.309764935;2874.23312;0;174.0010225;120.2825923;187.328554;53.28985972;0;8.063016639;6.03902929;120126.7715;0.612988234;0.001394611
11786;35;Placebo;23.87468773;44.05333009;19.77325432;35.40551904;269631.809;605051.5542;0.830856016;83.43799626;0;0;0;0;64.88954106;0;0.411219612;0.302715114;9743.789389;0.108252661;0.001348314
11786;35;[0, 10, 20, 30, 40];23.89326951;44.1334028;19.79237739;35.4758588;272177.1246;612064.4693;0.677100411;1410.379339;0;213.5280413;147.0052887;182.5241616;64.88954106;0;7.897155239;6.356621481;110517.0525;0.579029315;0.001348314
835405;35;Placebo;23.76790294;43.60956478;19.2663694;34.1027274;214195.5864;481903.7058;2.732841573;112.129184;0;0;0;0;51.22614507;0;0.444239492;0.297249343;12015.88167;0.150887651;0.001563734
835405;35;[0, 10, 20, 30, 40];23.78277801;43.67314559;19.28227037;34.1589462;217271.9139;489607.1675;2.479438935;2337.555506;0;164.7281915;114.3257271;202.4857838;51.22614507;0;8.292418224;6.486170373;95936.61996;0.618600633;0.001563734
729198;35;Placebo;23.84604222;43.93580936;20.01648923;35.79421342;258779.408;581078.514;0.684451107;136.1464052;0;0;0;0;53.86171146;0;0.479754402;0.341476699;11776.66314;0.164119698;0.00089022
729198;35;[0, 10, 20, 30, 40];23.85092338;43.95703428;20.02132678;35.81295623;261418.2598;587549.3559;0.647327274;2006.635255;0;186.8886062;126.7888772;137.5953949;53.86171146;0;6.672921738;5.414892157;92809.14983;0.536300517;0.00089022
544949;35;Placebo;23.84982732;43.9783518;19.66843454;35.14201675;238952.4186;536734.4178;1.574918135;108.530574;0;0;0;0;44.71178948;0;0.465397003;0.328908637;11822.41815;0.129827057;0.001256869
544949;35;[0, 10, 20, 30, 40];23.85820139;44.01355456;19.67715363;35.17342007;241603.8141;543612.3549;1.450145062;1766.082241;0;149.3731383;102.4758779;135.7975149;44.71178948;0;7.501625821;5.987799649;95883.30876;0.566009358;0.001256869
556677;35;Placebo;23.8553893;44.00622622;19.67909193;35.12216841;225444.4521;507524.2408;0.836021543;109.6496609;0;0;0;0;41.64147057;0;0.438436509;0.301187617;9904.641383;0.122603045;0.001075281
556677;35;[0, 10, 20, 30, 40];23.87147383;44.07620627;19.69930406;35.19325765;227742.5192;513280.642;0.672233919;1826.772172;0;144.0177308;97.69017395;153.2907016;41.64147057;0;6.765694618;5.38908056;81934.07755;0.525431827;0.001075281
363842;35;Placebo;23.84695507;44.00119012;20.17368108;36.26762537;234843.3877;528884.7462;1.705530938;101.1361452;0;0;0;0;64.39597559;0;0.395737107;0.286895346;10741.33517;0.110650136;0.000966858
363842;35;[0, 10, 20, 30, 40];23.86140821;44.0615577;20.18922791;36.32468436;237166.8935;534294.9594;1.44714609;2125.206948;0;214.0719748;146.9059775;172.7879753;64.39597559;0;7.627961324;6.286665408;94972.11899;0.559113506;0.000966858
772258;35;Placebo;23.81047763;43.79941042;19.08377583;33.68420843;284315.2117;638174.5698;2.671459109;141.5901165;0;0;0;0;57.90534581;0;0.519171104;0.332635365;15288.08564;0.168289231;0.002234692
772258;35;[0, 10, 20, 30, 40];23.81953233;43.83860667;19.09376971;33.71917775;287437.015;645712.109;2.490703465;2560.368068;0;189.9269011;130.9594947;148.1667415;57.90534581;0;7.892904024;6.065042885;119685.982;0.603569321;0.002234692
944391;35;Placebo;23.81153296;43.85185186;18.56311904;32.53309391;242917.1121;546289.1768;2.60874029;144.3256877;0;0;0;0;52.88010167;0;0.412088986;0.249548617;13213.2739;0.119587116;0.001805956
944391;35;[0, 10, 20, 30, 40];23.81851812;43.88119632;18.57112888;32.55923333;247435.0818;557167.7749;2.467708951;3510.031314;0;164.1910478;115.2951156;177.6280307;52.88010167;0;9.015316218;6.709225983;117961.6397;0.647263739;0.001805956
242296;35;Placebo;23.7454188;43.57384654;18.68192999;32.75699349;198542.9331;448523.949;3.919070386;172.3670302;0;0;0;0;51.71992052;0;0.553331545;0.345396617;16593.0503;0.171913945;0.001798816
